,species_name,phylo_level,parent,F12246,F12247,F12248,F12249,F12250,F12252,F12253,F12254,F12255,F12257,F12260,F12261,F12262,F12263,F12265,F12266,F12268,F12269,F12270,F12271,F12272,F12273,F12276,F12277,F12278,F12279,F12280,F12281,F12284,F12285,F12286,F12287,F12289,F12292,F12293,F12294,F12295,F12296,F12300,F12301,F12303,F12304,F12307,F12308,F12310,F12311,F12312,F12315,F12316,F12317,F12318,F12320,F12321,F12323,F12324,F12326,F12327,F12328,F12329,F12331,F12332,F12333,F12339
1114965,Streptococcus parasanguinis FW213,S1,1318,,,,,,,24994.0,,,,,,,,,,,35285.0,,,,,,62686.0,,,,,,131361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760570,Streptococcus parasanguinis ATCC 15912,S1,1318,,,,,,,24948.0,,,,,,,,,,,35280.0,,,,,,62574.0,,,,,,130959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858619,Corynebacterium variabile DSM 44702,S1,1727,,,,,,1627.0,,,,,,,,,,,,,,3633.0,575.0,,,,,,,,,6951.0,,,,,,,,,2719.0,3170.0,4301.0,,3722.0,5963.0,,2535.0,,,,19890.0,,4245.0,3607.0,3298.0,9318.0,,5692.0,,3917.0,,160096.0,4202.0,
1242245,Acinetobacter johnsonii XBB1,S1,40214,,,,,,,,,,,,,,,,,,,,241013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4392.0,3794.0,,,,,,,,,,
29430,Acinetobacter haemolyticus,S,469,,,,,,,,,,,,,,,,,,,,180462.0,,,,,,,,,,,,,,,,,,,,,,2639.0,,,,5529.0,,,,,,,,,,,,,,,60515.0,,
303,Pseudomonas putida,S,136845,,,1626.0,,3690.0,,,3287.0,,,2710.0,,,,,,,5357.0,,74783.0,,,,,,6593.0,,,,27646.0,4998.0,,,28367.0,14792.0,4091.0,,,,,,,5032.0,,5614.0,5178.0,5455.0,,,4648.0,4261.0,4735.0,,,16566.0,,,,3353.0,,8246.0,3734.0,
1316412,Streptococcus sp. HSISS3,S,2608887,,,,,,,,,,,,13581.0,,,,,,35204.0,,,,,,62719.0,,,,,,131332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004647,Acinetobacter sp. WCHAc010052,S,196816,,,,,,,,,,,,,,,,,,,,180120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60701.0,,
152682,Sphingomonas melonis,S,13687,1424.0,989.0,1748.0,2149.0,959.0,2241.0,2170.0,901.0,3489.0,4034.0,1826.0,1035.0,1267.0,1232.0,3233.0,936.0,1505.0,2967.0,1315.0,23342.0,3265.0,2380.0,1360.0,3741.0,16309.0,1495.0,2005.0,2279.0,,16054.0,1761.0,3130.0,14282.0,19612.0,5455.0,1785.0,2765.0,1174.0,2048.0,1269.0,3393.0,2148.0,3728.0,1595.0,2999.0,3180.0,3739.0,2315.0,3820.0,2887.0,4426.0,4608.0,3346.0,1273.0,11865.0,2479.0,1954.0,2937.0,2790.0,760.0,7250.0,2701.0,3341.0
1288,Staphylococcus xylosus,S,1279,,,,,,,,,,,,,,,,,,,,,,,,33492.0,,,,,,72087.0,,,36115.0,,,,,,,21874.0,,,,,,,,,30978.0,44347.0,,,,,,,,,,,,,
1292,Staphylococcus warneri,S,1279,,,,,,29160.0,,,,,,,,,,,,30525.0,,,,,,,,21803.0,,,,72216.0,,,,,,,,,,,,,,,,,,,,44295.0,,,,,,,,,,,,34468.0,
1359,Lactococcus lactis subsp. cremoris,S1,1358,843.0,,1488.0,1470.0,1505.0,2035.0,5281.0,1286.0,1403.0,2020.0,,3272.0,698.0,1595.0,1771.0,304.0,677.0,11609.0,1284.0,11968.0,7768.0,,474.0,18867.0,9678.0,708.0,629.0,755.0,1113.0,49724.0,544.0,724.0,5837.0,17120.0,1813.0,,,365.0,,,1334.0,797.0,1374.0,829.0,,,,,976.0,23976.0,494.0,,,,1253.0,,1302.0,376.0,,909.0,27871.0,1095.0,1011.0
106649,Acinetobacter guillouiae,S,469,,,,,,,,,,,,,,,,,,,,180039.0,,,,,13646.0,,,,,,,,15176.0,,,,,,,,,,,,,,,,,,,,,,13890.0,,,,,,,,
43768,Corynebacterium matruchotii,S,1716,,644.0,,,770.0,,,,,790.0,,1245.0,,1446.0,,,,,,3574.0,583.0,,,2161.0,,,307.0,1123.0,,8567.0,,,24241.0,,,,,,,3098.0,,,,,,2504.0,3344.0,,,7948.0,,4218.0,,,8965.0,,,,,,135525.0,4172.0,
1077464,Streptococcus oralis subsp. tigurinus,S1,1303,,,,,,,,,,,,13077.0,,,,,,,,6619.0,,,,63081.0,,,,,,130906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,Streptococcus pneumoniae,S,1301,,,,,,,,,,,,,,,,,,35254.0,,,,,,,,,,,,130091.0,,,25772.0,,,,,,,,,3011.0,3000.0,,,,2961.0,,,,,,,,12706.0,,,,,,,,
1303,Streptococcus oralis,S,1301,,,,,,,,,,,,,,,1224.0,,,,,,,,,62773.0,,,,,,130383.0,,,,4055.0,,,,,,,,,,,,,,,,8692.0,3312.0,,,,,,,,,,,,
161899,Corynebacterium singulare,S,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24451.0,,10024.0,,4157.0,,,,,3498.0,3652.0,,3237.0,2730.0,,1647.0,,7822.0,,,,,9018.0,,,,,,135601.0,,2871.0
1646498,Acinetobacter sp. TTH0-4,S,196816,,,3495.0,,,,,,,,,,,,,,,,,180516.0,,,,,,,,,,18123.0,,,,,,3979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
388919,Streptococcus sanguinis SK36,S1,1305,,,,,,,24954.0,,,,,,,,,,,35819.0,,,,,,,,,,,,132468.0,,,,,,,,,,,,,,,,,,,,,,,,,12681.0,,,,,,,,
401472,Corynebacterium ureicelerivorans,S,1716,,,,,772.0,,,,,,,,,,,,,,,2528.0,,,,,2885.0,,,,,,,,24730.0,,10292.0,,4274.0,3075.0,2657.0,,,,,,,2508.0,,,,,,,3572.0,,8866.0,,,,,,135832.0,,2883.0
38289,Corynebacterium jeikeium,S,1716,,,,,,,,,,,,,,,,,,,,,,694.0,,,2882.0,,,,,,,,,5330.0,10364.0,2717.0,4165.0,,,3265.0,,,3634.0,,,,,,4728.0,7831.0,,4287.0,3695.0,3247.0,9313.0,1783.0,,,,,135837.0,,
418223,Methylobacterium phyllosphaerae,S,407,,,,1693.0,,2255.0,,2193.0,1674.0,3932.0,,,,1315.0,3311.0,,,2292.0,1757.0,28793.0,3001.0,,,3979.0,26784.0,1040.0,,,,20836.0,,,9826.0,24175.0,7757.0,,,,,,4030.0,,2889.0,,3000.0,3624.0,4003.0,,4281.0,3351.0,1860.0,4447.0,,,13963.0,,1850.0,,,,7599.0,2019.0,
585529,Corynebacterium genitalium ATCC 33030,S1,38288,,,,,,,1814.0,,,,,,,,,,,1958.0,,2505.0,,,,,,,,,,7064.0,,,24350.0,,10101.0,,,,,,,,,,,,,,,7975.0,,,,,8873.0,,,,,,135674.0,,2898.0
712624,Streptococcus sp. oral taxon 064,S,2608887,,,,,,,,,,,,,,,,,,,,,,,,62703.0,,,,,,131297.0,,,,,,,,,,,,,,,,,,,,8701.0,,,,,,,,,,,,,
122355,Pseudomonas psychrophila,S,286,,,,,,,,,,,,9961.0,,,,,,5391.0,,74253.0,,,2238.0,,24741.0,,,,,27521.0,,,,28354.0,14667.0,,2726.0,,,,,,,,,,5428.0,,,,,4688.0,,2424.0,,,,,,,,,
1758189,Acinetobacter sp. ACNIH2,S,196816,,,,,,,,,,,,,,,,,,,,180306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7005.0,,,,,13887.0,,,,,,,,
269660,Methylobacterium brachiatum,S,407,,,,,,,2823.0,,,4025.0,1569.0,980.0,1187.0,,,,917.0,2233.0,1739.0,29279.0,,,1020.0,3990.0,26785.0,,,,970.0,20907.0,,2663.0,10295.0,23751.0,7532.0,2847.0,,,,2164.0,4512.0,,,,2933.0,3775.0,,2481.0,4235.0,,1945.0,4875.0,2404.0,,14357.0,,,,,,7555.0,2014.0,
1211579,Pseudomonas putida NBRC 14164,S1,303,,2379.0,,,,,,,,3780.0,,9808.0,,,9643.0,,,5481.0,,75293.0,,,,,,,,,,,,,,28799.0,14909.0,4231.0,,,,3169.0,4024.0,,,,,,,,,,,4922.0,,,16890.0,3268.0,,3368.0,,,8351.0,,
2571749,Novosphingobium sp. ABRDHK2,S,2644732,1049.0,543.0,2557.0,1299.0,1395.0,2034.0,1983.0,1612.0,2720.0,3201.0,1702.0,619.0,894.0,1724.0,3982.0,803.0,1358.0,2530.0,1576.0,17094.0,4704.0,1592.0,1010.0,3877.0,13655.0,836.0,,1009.0,1433.0,9968.0,1102.0,3602.0,10716.0,16184.0,5250.0,1505.0,2318.0,1368.0,1152.0,1465.0,3135.0,1211.0,2942.0,1686.0,3695.0,1694.0,2685.0,1683.0,3123.0,2762.0,2330.0,3924.0,2306.0,1349.0,12262.0,1618.0,830.0,1693.0,2704.0,748.0,4906.0,2100.0,2030.0
655813,Streptococcus oralis ATCC 35037,S1,1303,,,,,,,,,,,,,,,,,,,,,,,,62983.0,,,,,,130567.0,,,,,,,,,,,,,3031.0,,,,,,,,,,,,,,,,,,,,
862966,Streptococcus intermedius C270,S1,1338,,,,,,,,,,,,,,,,,,,,,,,,62699.0,,,,,,132516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316411,Streptococcus sp. HSISS2,S,2608887,,,,,,,,,,,,,,,,,,,,,,,,62759.0,,,,,,131180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756892,Acinetobacter indicus,S,469,,,,,,,,,,,,,,,,,,,,180444.0,,,,,13140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61015,Staphylococcus succinus,S,1279,,,,,,,,,,,,,,,,,,,,84522.0,,,,,,,,,,72030.0,,,36516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223967,Methylorubrum populi,S,2282523,828.0,845.0,825.0,1093.0,1266.0,1582.0,1657.0,1299.0,1806.0,2918.0,,926.0,707.0,1271.0,2496.0,,812.0,2158.0,1190.0,22063.0,2139.0,798.0,,2339.0,18946.0,407.0,1508.0,,812.0,15010.0,2283.0,2089.0,6352.0,21854.0,6124.0,2388.0,2711.0,1935.0,1000.0,1096.0,2625.0,2069.0,2303.0,1213.0,2463.0,3125.0,2955.0,1934.0,3345.0,1589.0,,3934.0,2597.0,1322.0,10965.0,,,1660.0,1685.0,,4770.0,2031.0,2813.0
485,Neisseria gonorrhoeae,S,482,2883.0,3944.0,2414.0,3316.0,3561.0,12761.0,3416.0,1332.0,1648.0,2081.0,3311.0,3464.0,2838.0,2187.0,4665.0,3447.0,3945.0,3962.0,3907.0,,2432.0,3340.0,2813.0,2738.0,703.0,3146.0,2990.0,1369.0,3840.0,4807.0,3471.0,1640.0,5621.0,1312.0,984.0,2469.0,2818.0,3509.0,4449.0,3364.0,777.0,3047.0,2380.0,3195.0,2387.0,1896.0,3985.0,4441.0,1662.0,4103.0,3010.0,1540.0,4522.0,3538.0,,2321.0,1695.0,2841.0,1028.0,2793.0,4983.0,2847.0,5010.0
287,Pseudomonas aeruginosa,S,136841,,,,,,,,,,,,,,,,,,,,74808.0,,,,,24781.0,6646.0,,,,27379.0,,,25770.0,28570.0,,,,,,,,,,,,,,,,,,,,,,,,,,2806.0,,,
33010,Cutibacterium avidum,S,1912216,,,,,,3808.0,,,,,,,,,,,,16938.0,,,,,,,,,,,,56852.0,,,15254.0,,,,,,10395.0,,15751.0,12967.0,,,,,,,,,,,,,31798.0,,12368.0,,11523.0,,,,
13689,Sphingomonas paucimobilis,S,13687,1752.0,564.0,,1828.0,1030.0,1835.0,1706.0,,3357.0,3039.0,1954.0,948.0,,1476.0,2847.0,,1375.0,2420.0,,16800.0,2930.0,2000.0,1572.0,3333.0,12920.0,,2266.0,1813.0,1063.0,11791.0,1750.0,2745.0,13857.0,14263.0,4851.0,1373.0,2331.0,1235.0,1294.0,1200.0,2722.0,2511.0,2195.0,1452.0,2387.0,2563.0,2438.0,1603.0,2793.0,3029.0,3524.0,3213.0,2566.0,,10208.0,2286.0,,2286.0,,1005.0,6004.0,2183.0,2143.0
1404245,Corynebacterium glyciniphilum AJ 3170,S1,1404244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24213.0,,,,,,,,,,,5917.0,,,,,,8020.0,,,,,,,5469.0,,3768.0,,138393.0,,
1197884,Acinetobacter venetianus VE-C3,S1,52133,,,,,,,,,,,,,,,,,,,,180449.0,,,,,,,,,,,,,,,,3966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
702967,Corynebacterium sp. NML98-0116,S,2624378,,,,,,1521.0,,,,,,,,,,,,,,2484.0,,,,,,,,,,7089.0,,,24571.0,,,,,,,,,,,,,,,,,7800.0,,,3577.0,,,,,,,,136716.0,,
2004650,Acinetobacter chinensis,S,469,,,,,,,,,,,,,,,,,,,,180210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3217.0,,,,,,,,,,
2004644,Acinetobacter sp. WCHA45,S,196816,,,,,,,,,,,,,,,,,,,,180171.0,1298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808001,Acinetobacter sp. LoGeW2-3,S,196816,,,,,,,,,,,,,,,,,,,,180275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420300,Acinetobacter sp. FDAARGOS_493,S,196816,,,,,,,,,,,,,,,,,,,,180118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621456,Sphingomonas melonis TY,S1,152682,,,,2274.0,,2432.0,2303.0,1199.0,,,1978.0,1231.0,,,3417.0,,1610.0,3144.0,,25100.0,,,,3893.0,16663.0,,2153.0,2431.0,,16452.0,,3340.0,14406.0,20202.0,5695.0,1887.0,,,,1452.0,,,3924.0,,,,3943.0,,,,4578.0,4831.0,,,12372.0,2660.0,,3250.0,3013.0,,,2853.0,3832.0
408,Methylorubrum extorquens,S,2282523,,,,1159.0,1166.0,1635.0,1739.0,1200.0,1682.0,2429.0,,952.0,,,1864.0,,720.0,2078.0,,19928.0,2104.0,750.0,,1987.0,17481.0,,1243.0,1598.0,917.0,14239.0,2347.0,1952.0,6640.0,20128.0,5202.0,2036.0,2756.0,2023.0,1065.0,1079.0,3149.0,1524.0,2331.0,1339.0,2147.0,3135.0,3178.0,1919.0,3419.0,1778.0,1765.0,3881.0,1912.0,1095.0,10490.0,,1253.0,1689.0,,1433.0,3911.0,1767.0,2010.0
156976,Corynebacterium riegelii,S,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9922.0,2611.0,,,,,,,,,,,3354.0,,4629.0,,2514.0,4198.0,,,9412.0,1813.0,,,,,135498.0,,
47885,Pseudomonas oryzihabitans,S,136845,,,,,,,,,,3700.0,,,,,,,,,,74432.0,4402.0,2460.0,,,24867.0,,,,,,,,25848.0,,,,,,,,,,5016.0,,,,,,,,4177.0,4703.0,,,16129.0,,,,,,8209.0,,
28028,Corynebacterium flavescens,S,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10042.0,,,,,,,,3528.0,,,,,,,7850.0,2370.0,,,,8884.0,,,,,,135618.0,4215.0,
272630,Methylorubrum extorquens AM1,S1,408,,,,1366.0,1325.0,,1891.0,,,2787.0,,,,1223.0,1977.0,866.0,906.0,2392.0,1240.0,21263.0,2371.0,,,,18807.0,518.0,,1787.0,,16370.0,2621.0,2576.0,6843.0,21575.0,5664.0,2188.0,2900.0,2370.0,,1332.0,3486.0,,,,2327.0,,3435.0,2035.0,3675.0,,,4053.0,,1283.0,11368.0,,1389.0,2677.0,,1603.0,4064.0,2014.0,2223.0
246201,Streptococcus mitis NCTC 12261,S1,28037,,,,,,,,,,,,,,,,,,35445.0,,,,,,,3792.0,,,,,131188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156978,Corynebacterium imitans,S,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24238.0,,,,,,,,,,,,,,,,,,,,,,8859.0,1820.0,,,,,135507.0,,
216778,Stenotrophomonas rhizophila,S,40323,,,,,,,,,3680.0,,,,,,4838.0,,,3352.0,,27953.0,,,,,25849.0,,,,,31890.0,,,7727.0,25536.0,11137.0,,,,1788.0,,,,,,,,,,,,,5834.0,4078.0,,13785.0,,,,,,,,
2576376,Streptococcus sp. 1643,S,2608887,,,,,,,,,,,,,,,,,,35155.0,,,,,,,,,,,,131253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898684,Pseudomonas sp. LPH1,S,2583993,,,,,,,,,,,,,,,,,,,,74912.0,,,,,,,,,,27513.0,,,,28846.0,,,,,,,,,,,,5293.0,,,,,,,,,16255.0,,,,3408.0,,8287.0,,
145391,Staphylococcus hominis subsp. hominis,S1,1290,,,,,,29475.0,,,,,,,,,,,,,,,,22628.0,,34020.0,,,,,,75363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548476,Corynebacterium aurimucosum ATCC 700975,S1,169292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3577.0,,,,,,,7818.0,,,,,9075.0,,,3305.0,,,135745.0,,
1343,Streptococcus vestibularis,S,1301,,,,,,,24806.0,,,,,,,,,,,,,,,,,,,,,,,129711.0,,,,4077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441620,Methylorubrum populi BJ001,S1,223967,,,,1245.0,1487.0,,,1428.0,,3191.0,,,,,,,,,,23838.0,,,1279.0,,19982.0,,1813.0,1653.0,,16014.0,,,,23088.0,6275.0,2615.0,,2116.0,,1328.0,2798.0,2320.0,,,2703.0,3299.0,,2231.0,3543.0,,1614.0,4177.0,2823.0,,11720.0,,,1851.0,,1483.0,4979.0,2183.0,3193.0
1267562,Cupriavidus gilardii CR3,S1,82541,2139.0,1551.0,1033.0,1482.0,2152.0,,2825.0,3415.0,1432.0,3121.0,3517.0,1264.0,776.0,582.0,2094.0,821.0,1315.0,2605.0,,8614.0,1479.0,800.0,1662.0,2343.0,7220.0,1188.0,1339.0,1749.0,1284.0,6951.0,,1962.0,3486.0,10214.0,3796.0,2357.0,2414.0,1987.0,1374.0,1906.0,2732.0,2694.0,2026.0,630.0,3488.0,2204.0,3138.0,2189.0,3671.0,3053.0,2825.0,3380.0,2344.0,1351.0,7509.0,1164.0,1728.0,2594.0,1930.0,1142.0,3665.0,2696.0,3229.0
526969,Bacillus cereus m1550,S1,1396,1167.0,866.0,1566.0,1032.0,1151.0,897.0,1444.0,,638.0,507.0,646.0,741.0,253.0,879.0,1561.0,1697.0,597.0,2443.0,1341.0,2004.0,1431.0,399.0,746.0,1200.0,5241.0,998.0,1372.0,1312.0,957.0,2731.0,902.0,448.0,10507.0,20684.0,7679.0,2161.0,3698.0,3229.0,2066.0,2904.0,4741.0,3510.0,2295.0,1680.0,3587.0,3526.0,2290.0,2824.0,3750.0,2668.0,2453.0,2524.0,1195.0,1979.0,2556.0,1818.0,2117.0,1969.0,1089.0,1680.0,6981.0,3390.0,3489.0
180282,Delftia tsuruhatensis,S,80865,2183.0,,1525.0,2542.0,1353.0,2582.0,2763.0,1767.0,,3025.0,1476.0,1035.0,989.0,1238.0,2339.0,,,1880.0,,11079.0,2281.0,,1220.0,,10764.0,1516.0,1699.0,3058.0,2283.0,13888.0,2418.0,2767.0,5609.0,11551.0,4435.0,,,1352.0,1253.0,1806.0,3210.0,1634.0,2181.0,1509.0,2956.0,4611.0,2333.0,2548.0,3409.0,3948.0,,3427.0,,,7755.0,,1532.0,2291.0,2763.0,,,,2773.0
1705,Corynebacterium stationis,S,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7826.0,,,,,8989.0,,,,,,135583.0,,
246432,Staphylococcus equorum,S,1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46714.0,,,,,,,,,,,80912.0,,24629.0
2259340,Paracoccus sp. SC2-6,S,246570,,,,11207.0,,,,,,,,,,,,,,,,27505.0,,,,,,,,,,10964.0,,,8997.0,,,,,,,,,,,15836.0,,,,,,,,,,,,,36163.0,,,,18879.0,18291.0,
1433513,Streptococcus gwangjuense,S,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129843.0,,,,,8682.0,,,,,,,,,,,,,,,,,5372.0,,,,,,,,,,,
2079535,Corynebacterium sp. 2184,S,2624378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135488.0,,
296,Pseudomonas fragi,S,136842,,,,,,,6383.0,,,,,,,,,,,5289.0,,74283.0,,,,14724.0,,,,,,29498.0,,,,,,,,,,,,6648.0,,,,,,,,,,,,,,,,,,,,,4649.0
546,Citrobacter freundii,S,1344959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54635.0,,,,76228.0,,,,,,,,,,,,,,,,,,,,,,,,9862.0,,,,,
739141,Methylobacterium sp. XJLW,S,2615210,,,,,,,,,1720.0,3902.0,,,,,,,909.0,,,28396.0,,,,,26013.0,,,,,20756.0,3230.0,,9745.0,23368.0,7594.0,,,,,1996.0,,,,,,,,,,3245.0,,,,,,1105.0,,,,,7708.0,,
402626,Ralstonia pickettii 12J,S1,329,1588.0,1171.0,1091.0,1246.0,2079.0,1820.0,2888.0,2157.0,1413.0,3410.0,,1377.0,,,2781.0,777.0,1298.0,2971.0,655.0,11655.0,1629.0,598.0,942.0,2007.0,7725.0,,1259.0,2043.0,1254.0,8538.0,1763.0,,3628.0,10111.0,2670.0,2652.0,2032.0,1795.0,2318.0,,,,1599.0,,2547.0,,2335.0,1582.0,3207.0,2406.0,1974.0,2786.0,1979.0,2172.0,8863.0,886.0,1653.0,2125.0,1969.0,,3923.0,,2408.0
320371,Burkholderia pseudomallei 1710a,S1,28450,2848.0,1625.0,1283.0,1941.0,1857.0,2198.0,2676.0,1770.0,2012.0,3199.0,4044.0,1702.0,1562.0,947.0,2483.0,1595.0,2090.0,2118.0,1534.0,,1818.0,1563.0,1999.0,2108.0,5775.0,1806.0,2064.0,1635.0,2061.0,4623.0,1361.0,1857.0,3268.0,,2286.0,2179.0,2560.0,2541.0,1991.0,1997.0,1617.0,2981.0,1968.0,1111.0,2802.0,2012.0,1975.0,1755.0,2759.0,2673.0,2594.0,2472.0,2573.0,1896.0,4276.0,888.0,1837.0,2245.0,1590.0,1293.0,2847.0,2283.0,2899.0
1224162,Corynebacterium marinum DSM 44953,S1,349751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135512.0,,
1121353,Corynebacterium callunae DSM 20147,S1,1721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135510.0,,
1718,Corynebacterium glutamicum,S,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135488.0,,
1348662,Corynebacterium argentoratense DSM 44202,S1,42817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135485.0,,
927666,Streptococcus oralis Uo5,S1,1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4497.0,,,,,,
113107,Streptococcus australis,S,1301,,,,,,,,,,,,,,,,,,,,,,,,,3720.0,,,,,129839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358,Lactococcus lactis,S,1357,,,451.0,1008.0,962.0,572.0,2398.0,696.0,,815.0,229.0,2409.0,312.0,933.0,764.0,,313.0,4372.0,546.0,4577.0,2721.0,,,8078.0,3532.0,357.0,189.0,216.0,283.0,21563.0,339.0,230.0,4259.0,9100.0,1661.0,894.0,724.0,,346.0,,934.0,681.0,1106.0,,447.0,280.0,546.0,,673.0,19769.0,,,,585.0,1032.0,187.0,1125.0,,740.0,630.0,27145.0,943.0,
862967,Streptococcus intermedius B196,S1,1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365659,Streptococcus mitis B6,S1,28037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156433,Streptococcus sp. I-P16,S,2608887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902136,Streptococcus sp. NPS 308,S,2608887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40041,Streptococcus equi subsp. zooepidemicus,S1,1336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149016,Streptococcus urinalis,S,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197614,Streptococcus pasteurianus,S,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904944,Stenotrophomonas sp. LM091,S,196198,,,2405.0,,,,,,,,,,,,,,,,1383.0,28442.0,,,,,25927.0,,,,,,,,,25433.0,,,3967.0,,,,3140.0,,6316.0,,,2448.0,,,5589.0,,,,,,13628.0,1605.0,,,,,8278.0,,
1945662,Paracoccus contaminans,S,265,,,,11247.0,,,,,,,,,,,,,,,,25581.0,,,,,,,,,,10361.0,,,9065.0,,,,,,,,,,,,,,,,,,,1480.0,,,,,34579.0,,,,18217.0,17609.0,
2565555,Sphingomonas sp. PAMC26645,S,196159,,,1552.0,,,,,,3982.0,2896.0,,1081.0,,,2856.0,,,2539.0,,15353.0,,1886.0,,,10559.0,,,1687.0,1145.0,10752.0,,,21329.0,12904.0,4532.0,,,,,,,,2243.0,,,,,,2889.0,2323.0,,,2446.0,,8900.0,2097.0,,2161.0,2617.0,713.0,6141.0,,
253237,Pseudomonas sp. phDV1,S,2583993,,,,,,,,,,,,,,,,,,,,77352.0,,,,,24834.0,,,,,,,,,,14710.0,,,,,,,,,,,,,,,,,,,,,,,,,,8243.0,,
1170318,Cutibacterium avidum 44067,S1,33010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57210.0,,,15648.0,,,,,,,,15919.0,,,,,,,,,,,16992.0,,,,,,,11826.0,,,,
288000,Bradyrhizobium sp. BTAi1,S,2631580,635.0,,867.0,,884.0,,,1325.0,,1382.0,873.0,,,,1391.0,,,,1106.0,10742.0,1503.0,,1035.0,,11229.0,1309.0,,1713.0,936.0,8516.0,655.0,1410.0,3814.0,10501.0,2830.0,1904.0,2033.0,1793.0,790.0,1329.0,2485.0,1906.0,2939.0,1570.0,2298.0,1651.0,2540.0,,3294.0,,2229.0,2458.0,,858.0,9811.0,,1115.0,2342.0,726.0,,3627.0,789.0,1712.0
